Test name,Execution time,Result
STC_0273.smt2,180.037831300,cvc5 interrupted by SIGTERM.
STC_0035.smt2,180.038734800,cvc5 interrupted by SIGTERM.
STC_0036.smt2,1.122461100,sat
STC_0037.smt2,.190127000,sat
STC_0526.smt2,180.036806500,cvc5 interrupted by SIGTERM.
STC_0774.smt2,180.035259700,cvc5 interrupted by SIGTERM.
STC_0274.smt2,180.035801100,cvc5 interrupted by SIGTERM.
STC_0038.smt2,180.041342400,cvc5 interrupted by SIGTERM.
STC_0527.smt2,180.038024000,cvc5 interrupted by SIGTERM.
STC_0775.smt2,180.034250800,cvc5 interrupted by SIGTERM.
STC_0528.smt2,31.176600400,sat
STC_0275.smt2,180.036953200,cvc5 interrupted by SIGTERM.
STC_0039.smt2,180.036620400,cvc5 interrupted by SIGTERM.
STC_0776.smt2,180.036671800,cvc5 interrupted by SIGTERM.
STC_0529.smt2,180.036652900,cvc5 interrupted by SIGTERM.
STC_0276.smt2,180.034857900,cvc5 interrupted by SIGTERM.
STC_0040.smt2,180.036958500,cvc5 interrupted by SIGTERM.
STC_0777.smt2,180.038463200,cvc5 interrupted by SIGTERM.
STC_0530.smt2,180.035045500,cvc5 interrupted by SIGTERM.
STC_0277.smt2,180.034985800,cvc5 interrupted by SIGTERM.
STC_0041.smt2,180.037403000,cvc5 interrupted by SIGTERM.
STC_0778.smt2,180.035723900,cvc5 interrupted by SIGTERM.
STC_0531.smt2,180.035371300,cvc5 interrupted by SIGTERM.
STC_0278.smt2,180.036158000,cvc5 interrupted by SIGTERM.
STC_0279.smt2,10.886505100,sat
STC_0042.smt2,180.039757300,cvc5 interrupted by SIGTERM.
STC_0779.smt2,180.036065800,cvc5 interrupted by SIGTERM.
STC_0532.smt2,180.036439300,cvc5 interrupted by SIGTERM.
STC_0280.smt2,180.038143800,cvc5 interrupted by SIGTERM.
STC_0043.smt2,180.034910700,cvc5 interrupted by SIGTERM.
STC_0780.smt2,180.035245600,cvc5 interrupted by SIGTERM.
STC_0533.smt2,180.033606300,cvc5 interrupted by SIGTERM.
STC_0281.smt2,180.033925900,cvc5 interrupted by SIGTERM.
STC_0044.smt2,180.034782400,cvc5 interrupted by SIGTERM.
STC_0045.smt2,.689962300,sat
STC_0046.smt2,.373929500,sat
STC_0781.smt2,180.036657400,cvc5 interrupted by SIGTERM.
STC_0534.smt2,180.038433700,cvc5 interrupted by SIGTERM.
STC_0282.smt2,180.039120600,cvc5 interrupted by SIGTERM.
STC_0047.smt2,180.048079400,cvc5 interrupted by SIGTERM.
STC_0782.smt2,180.039481800,cvc5 interrupted by SIGTERM.
STC_0535.smt2,180.039725800,cvc5 interrupted by SIGTERM.
STC_0283.smt2,180.047269900,cvc5 interrupted by SIGTERM.
STC_0048.smt2,180.074452200,cvc5 interrupted by SIGTERM.
STC_0783.smt2,180.047434500,cvc5 interrupted by SIGTERM.
STC_0536.smt2,180.047717100,cvc5 interrupted by SIGTERM.
STC_0284.smt2,180.049547500,cvc5 interrupted by SIGTERM.
STC_0049.smt2,180.050104900,cvc5 interrupted by SIGTERM.
STC_0784.smt2,180.056513900,cvc5 interrupted by SIGTERM.
STC_0537.smt2,180.061283900,cvc5 interrupted by SIGTERM.
STC_0285.smt2,180.044006700,cvc5 interrupted by SIGTERM.
STC_0785.smt2,46.617793700,sat
STC_0050.smt2,180.046689800,cvc5 interrupted by SIGTERM.
