Test name, Execution time, Result, Values
/20220315-MathProblems/STC_0075.smt2, 31.709958, Not SAT
/20220315-MathProblems/STC_0076.smt2, 36.131045, Not SAT
/20220315-MathProblems/STC_0077.smt2, 34.137795, Not SAT
/20220315-MathProblems/STC_0078.smt2, 13.208994, SAT, x = -55 y = 26 z = 53 
/20220315-MathProblems/STC_0079.smt2, 13.373614, SAT, x = -66 y = -49 z = 74 
/20220315-MathProblems/STC_0080.smt2, 16.346100, SAT, x = -6 y = -6 z = 8 
/20220315-MathProblems/STC_0081.smt2, 14.988537, SAT, x = -18 y = 10 z = 17 
/20220315-MathProblems/STC_0082.smt2, 15.516811, SAT, x = -11 y = -11 z = 14 
/20220315-MathProblems/STC_0083.smt2, 6.284162, SAT, x = -183 y = 139 z = 151 
/20220315-MathProblems/STC_0084.smt2, 31.295465, Not SAT
/20220315-MathProblems/STC_0085.smt2, 32.702180, Not SAT
/20220315-MathProblems/STC_0086.smt2, 32.529643, Not SAT
/20220315-MathProblems/STC_0087.smt2, 33.294695, Not SAT
/20220315-MathProblems/STC_0088.smt2, 8.799089, SAT, x = -135 y = -130 z = 167 
/20220315-MathProblems/STC_0089.smt2, 15.392437, SAT, x = -7 y = 6 z = 6 
/20220315-MathProblems/STC_0090.smt2, 10.687206, SAT, x = -100 y = 31 z = 99 
/20220315-MathProblems/STC_0091.smt2, 16.927407, SAT, x = -5 y = 0 z = 6 
/20220315-MathProblems/STC_0092.smt2, 4.310507, SAT, x = -218 y = -101 z = 225 
/20220315-MathProblems/STC_0093.smt2, 2.807167, SAT, x = -248 y = -98 z = 253 
/20220315-MathProblems/STC_0094.smt2, 31.897822, Not SAT
/20220315-MathProblems/STC_0095.smt2, 33.282795, Not SAT
/20220315-MathProblems/STC_0096.smt2, 14.188320, SAT, x = -22 y = 14 z = 20 
/20220315-MathProblems/STC_0097.smt2, 0.317293, SAT, x = -295 y = 101 z = 291 
/20220315-MathProblems/STC_0098.smt2, 8.095721, SAT, x = -141 y = 39 z = 140 
/20220315-MathProblems/STC_0099.smt2, 3.253599, SAT, x = -237 y = 152 z = 214 
/20220315-MathProblems/STC_0100.smt2, 6.958183, SAT, x = -161 y = -139 z = 190 
/20220315-MathProblems/STC_0101.smt2, 10.821497, SAT, x = -83 y = 46 z = 78 
/20220315-MathProblems/STC_0102.smt2, 3.274384, SAT, x = -239 y = 118 z = 229 
/20220315-MathProblems/STC_0103.smt2, 32.256721, Not SAT
/20220315-MathProblems/STC_0104.smt2, 31.272429, Not SAT
/20220315-MathProblems/STC_0105.smt2, 15.661296, SAT, x = -7 y = -4 z = 8 
/20220315-MathProblems/STC_0106.smt2, 14.999990, SAT, x = -19 y = -19 z = 24 
/20220315-MathProblems/STC_0107.smt2, 13.873588, SAT, x = -48 y = -28 z = 51 
/20220315-MathProblems/STC_0108.smt2, 33.496244, Not SAT
/20220315-MathProblems/STC_0109.smt2, 10.992047, SAT, x = -107 y = -88 z = 124 
/20220315-MathProblems/STC_0110.smt2, 33.096230, Not SAT
/20220315-MathProblems/STC_0111.smt2, 33.417430, Not SAT
/20220315-MathProblems/STC_0112.smt2, 32.725876, Not SAT
/20220315-MathProblems/STC_0113.smt2, 31.832461, Not SAT
