Test name,Execution time,Result
aproveSMT1261041288686639410.smt2,.036258500,sat
aproveSMT1264507627742814619.smt2,180.034702800,cvc5 interrupted by SIGTERM.
aproveSMT1265961604869732423.smt2,.165217900,sat
aproveSMT1268945256864191742.smt2,.076248400,sat
aproveSMT127177618181993725.smt2,180.035960600,cvc5 interrupted by SIGTERM.
aproveSMT1272603054399714922.smt2,180.032750100,cvc5 interrupted by SIGTERM.
aproveSMT1272662704634017030.smt2,1.104083000,sat
aproveSMT1273731352138297194.smt2,180.031779500,cvc5 interrupted by SIGTERM.
aproveSMT1280282980500390082.smt2,.053229200,unsat
aproveSMT1280478447198435015.smt2,.187307500,unsat
aproveSMT1284980604806326417.smt2,.078975300,sat
aproveSMT1287867959478678906.smt2,.048874000,sat
aproveSMT1288761784791682820.smt2,.068299300,sat
aproveSMT1290350034702307057.smt2,.681668000,sat
aproveSMT1294590808882795189.smt2,.048985200,sat
aproveSMT1296180034830538453.smt2,3.465577200,sat
aproveSMT1296394515332697498.smt2,7.104234900,unsat
aproveSMT1296851730265535359.smt2,28.202772900,sat
aproveSMT1296935848846667128.smt2,.048778600,sat
aproveSMT1297568023746394660.smt2,.094699400,sat
aproveSMT1301561149068337532.smt2,.051359800,sat
aproveSMT1302492464160038682.smt2,180.033731300,cvc5 interrupted by SIGTERM.
aproveSMT1302756442145899513.smt2,.047771000,sat
aproveSMT1304805112424103007.smt2,21.147279900,sat
aproveSMT130911952525388558.smt2,1.035447500,sat
aproveSMT1310583788905443267.smt2,.087875600,sat
aproveSMT1313620458915187557.smt2,2.007209700,unsat
aproveSMT1315949229485983679.smt2,.049275500,sat
aproveSMT1321732654504728591.smt2,2.194804100,sat
aproveSMT1324015061374043545.smt2,60.423715400,sat
aproveSMT1327713188219280379.smt2,180.033672800,cvc5 interrupted by SIGTERM.
aproveSMT1329540615731828670.smt2,180.040874700,cvc5 interrupted by SIGTERM.
aproveSMT1331671399110106547.smt2,.078776200,sat
aproveSMT1333000487120247408.smt2,3.581893900,unsat
aproveSMT1335852993657230070.smt2,1.742930700,unsat
aproveSMT1340253123911260780.smt2,.652001700,sat
aproveSMT1340559769396708357.smt2,.089907700,sat
aproveSMT1341166607693039732.smt2,180.043658900,cvc5 interrupted by SIGTERM.
aproveSMT1341881410111366005.smt2,1.149912300,sat
aproveSMT1342262329971728317.smt2,9.308416300,unsat
aproveSMT1345515375530754027.smt2,180.034736300,cvc5 interrupted by SIGTERM.
aproveSMT1350987983658953160.smt2,.045852700,sat
aproveSMT1357141816009857110.smt2,.081907400,sat
aproveSMT1358305864349640900.smt2,.044856700,sat
aproveSMT1358756504306056425.smt2,.112040500,unsat
aproveSMT1364093870217899063.smt2,.045849700,sat
aproveSMT1368200138446719805.smt2,180.031974600,cvc5 interrupted by SIGTERM.
aproveSMT1369427554765674892.smt2,180.060092200,cvc5 interrupted by SIGTERM.
aproveSMT1383742374956666401.smt2,.116763700,sat
aproveSMT1385820267360259387.smt2,4.550763100,sat
aproveSMT1391217659146034548.smt2,.225315200,unsat
aproveSMT1393349130106307954.smt2,2.212419300,sat
aproveSMT1394189460402507471.smt2,3.043656200,unsat
aproveSMT1396136545476996622.smt2,180.034490000,cvc5 interrupted by SIGTERM.
aproveSMT1399941007211358275.smt2,.813219000,sat
aproveSMT1407731390504487812.smt2,.113028400,sat
aproveSMT1408201959929440103.smt2,180.046468600,cvc5 interrupted by SIGTERM.
aproveSMT1408329727899482583.smt2,.070840300,sat
aproveSMT141510234371783052.smt2,.063728700,sat
aproveSMT1417634923349622301.smt2,180.042336700,cvc5 interrupted by SIGTERM.
aproveSMT1429092859451149480.smt2,2.416623500,unsat
aproveSMT1433329195519261705.smt2,1.970883000,unsat
aproveSMT1433751380059951964.smt2,.074531600,sat
aproveSMT143564062931235708.smt2,180.041058800,cvc5 interrupted by SIGTERM.
aproveSMT1435845227327230808.smt2,.062315700,sat
aproveSMT1436661845167250093.smt2,180.050753800,cvc5 interrupted by SIGTERM.
aproveSMT1437438160177275586.smt2,19.463955500,unsat
aproveSMT1439199208732245123.smt2,1.359109100,sat
aproveSMT1442342069351870170.smt2,9.506927200,sat
aproveSMT144364303553946193.smt2,.059259800,sat
aproveSMT1444998859697836742.smt2,.052635700,sat
aproveSMT1449414910863045105.smt2,.096160500,unsat
aproveSMT1451460849315461898.smt2,.054468900,sat
aproveSMT1464199103090412445.smt2,2.171215700,sat
aproveSMT14682641666560919.smt2,.877003000,unsat
aproveSMT1471136376134147553.smt2,.714180000,unsat
aproveSMT1472683388595273634.smt2,.058637300,sat
aproveSMT1475702495115273507.smt2,.268831900,unsat
aproveSMT1477246568665330987.smt2,.430053100,sat
aproveSMT1480632897228167473.smt2,.054601900,sat
aproveSMT1481342301807665989.smt2,.053570700,sat
aproveSMT1483550296069625454.smt2,.546462000,unsat
aproveSMT148420930909957197.smt2,.547392100,unsat
aproveSMT1485348335910618247.smt2,.710025300,sat
aproveSMT1485723438881836834.smt2,180.045742100,cvc5 interrupted by SIGTERM.
aproveSMT1486822558467986393.smt2,2.330411700,sat
aproveSMT1487483765420573896.smt2,180.039262500,cvc5 interrupted by SIGTERM.
