Test name, Execution time, Result, Values
/20220315-MathProblems/STC_0075.smt2, 1.158194, Not SAT
/20220315-MathProblems/STC_0076.smt2, 1.172413, Not SAT
/20220315-MathProblems/STC_0077.smt2, 1.142445, Not SAT
/20220315-MathProblems/STC_0078.smt2, 0.290263, SAT, x = -55 y = 26 z = 53 
/20220315-MathProblems/STC_0079.smt2, 0.205675, SAT, x = -66 y = -49 z = 74 
/20220315-MathProblems/STC_0080.smt2, 0.538922, SAT, x = -6 y = -6 z = 8 
/20220315-MathProblems/STC_0081.smt2, 0.478538, SAT, x = -18 y = 10 z = 17 
/20220315-MathProblems/STC_0082.smt2, 0.513770, SAT, x = -11 y = -11 z = 14 
/20220315-MathProblems/STC_0083.smt2, 0.388522, SAT, x = -36 y = -32 z = 43 
/20220315-MathProblems/STC_0084.smt2, 1.181836, Not SAT
/20220315-MathProblems/STC_0085.smt2, 1.142273, Not SAT
/20220315-MathProblems/STC_0086.smt2, 1.169862, Not SAT
/20220315-MathProblems/STC_0087.smt2, 1.179642, Not SAT
/20220315-MathProblems/STC_0088.smt2, 0.518992, SAT, x = -16 y = -9 z = 17 
/20220315-MathProblems/STC_0089.smt2, 0.542079, SAT, x = -7 y = 6 z = 6 
/20220315-MathProblems/STC_0090.smt2, 0.005272, SAT, x = -100 y = 31 z = 99 
/20220315-MathProblems/STC_0091.smt2, 0.543019, SAT, x = -5 y = 0 z = 6 
/20220315-MathProblems/STC_0092.smt2, 0.527431, SAT, x = -8 y = -5 z = 9 
/20220315-MathProblems/STC_0093.smt2, 0.547126, SAT, x = -5 y = -5 z = 7 
/20220315-MathProblems/STC_0094.smt2, 1.151631, Not SAT
/20220315-MathProblems/STC_0095.smt2, 1.162278, Not SAT
/20220315-MathProblems/STC_0096.smt2, 0.465407, SAT, x = -22 y = 14 z = 20 
/20220315-MathProblems/STC_0097.smt2, 0.458116, SAT, x = -22 y = 17 z = 18 
/20220315-MathProblems/STC_0098.smt2, 0.498447, SAT, x = -15 y = 9 z = 14 
/20220315-MathProblems/STC_0099.smt2, 0.401673, SAT, x = -37 y = 16 z = 36 
/20220315-MathProblems/STC_0100.smt2, 0.540869, SAT, x = -6 y = -3 z = 7 
/20220315-MathProblems/STC_0101.smt2, 0.111137, SAT, x = -83 y = 46 z = 78 
/20220315-MathProblems/STC_0102.smt2, 1.165792, Not SAT
/20220315-MathProblems/STC_0103.smt2, 1.139734, Not SAT
/20220315-MathProblems/STC_0104.smt2, 1.238292, Not SAT
/20220315-MathProblems/STC_0105.smt2, 0.532536, SAT, x = -7 y = -4 z = 8 
/20220315-MathProblems/STC_0106.smt2, 0.460012, SAT, x = -19 y = -19 z = 24 
/20220315-MathProblems/STC_0107.smt2, 0.308653, SAT, x = -48 y = -28 z = 51 
/20220315-MathProblems/STC_0108.smt2, 1.163186, Not SAT
/20220315-MathProblems/STC_0109.smt2, 0.322436, SAT, x = -44 y = -18 z = 45 
/20220315-MathProblems/STC_0110.smt2, 1.181677, Not SAT
/20220315-MathProblems/STC_0111.smt2, 1.153760, Not SAT
/20220315-MathProblems/STC_0112.smt2, 1.180884, Not SAT
/20220315-MathProblems/STC_0113.smt2, 1.200389, Not SAT
/20220315-MathProblems/STC_0114.smt2, 1.175882, Not SAT
/20220315-MathProblems/STC_0115.smt2, 0.526279, SAT, x = -12 y = 8 z = 11 
/20220315-MathProblems/STC_0116.smt2, 0.569679, SAT, x = -2 y = -1 z = 5 
/20220315-MathProblems/STC_0117.smt2, 0.576927, SAT, x = -2 y = 0 z = 5 
/20220315-MathProblems/STC_0118.smt2, 0.011257, SAT, x = -99 y = 76 z = 81 
/20220315-MathProblems/STC_0119.smt2, 0.520148, SAT, x = -14 y = -8 z = 15 
/20220315-MathProblems/STC_0120.smt2, 0.060548, SAT, x = -92 y = 46 z = 88 
/20220315-MathProblems/STC_0121.smt2, 1.175982, Not SAT
/20220315-MathProblems/STC_0122.smt2, 1.169279, Not SAT
/20220315-MathProblems/STC_0123.smt2, 0.365827, SAT, x = -37 y = -16 z = 38 
/20220315-MathProblems/STC_0124.smt2, 0.561376, SAT, x = -1 y = 0 z = 5 
/20220315-MathProblems/STC_0125.smt2, 0.003965, SAT, x = -100 y = 5 z = 100 
/20220315-MathProblems/STC_0126.smt2, 0.533643, SAT, x = -12 y = -7 z = 13 
/20220315-MathProblems/STC_0127.smt2, 0.534640, SAT, x = -11 y = 9 z = 9 
/20220315-MathProblems/STC_0128.smt2, 0.134373, SAT, x = -77 y = -54 z = 85 
/20220315-MathProblems/STC_0129.smt2, 0.609470, SAT, x = 1 y = 4 z = 4 
/20220315-MathProblems/STC_0130.smt2, 1.170933, Not SAT
/20220315-MathProblems/STC_0131.smt2, 1.166908, Not SAT
/20220315-MathProblems/STC_0132.smt2, 0.591554, SAT, x = -1 y = 2 z = 5 
/20220315-MathProblems/STC_0133.smt2, 0.053977, SAT, x = -91 y = -37 z = 93 
/20220315-MathProblems/STC_0134.smt2, 0.057927, SAT, x = -91 y = 49 z = 86 
/20220315-MathProblems/STC_0135.smt2, 0.418895, SAT, x = -28 y = -17 z = 30 
/20220315-MathProblems/STC_0136.smt2, 0.611389, SAT, x = 2 y = 4 z = 4 
/20220315-MathProblems/STC_0137.smt2, 0.408917, SAT, x = -30 y = -23 z = 34 
/20220315-MathProblems/STC_0138.smt2, 1.164170, Not SAT
/20220315-MathProblems/STC_0139.smt2, 1.189811, Not SAT
/20220315-MathProblems/STC_0140.smt2, 1.148890, Not SAT
/20220315-MathProblems/STC_0141.smt2, 0.482243, SAT, x = -19 y = -10 z = 20 
/20220315-MathProblems/STC_0142.smt2, 0.539989, SAT, x = -7 y = -3 z = 8 
/20220315-MathProblems/STC_0143.smt2, 1.197936, Not SAT
/20220315-MathProblems/STC_0144.smt2, 0.173532, SAT, x = -72 y = -25 z = 73 
/20220315-MathProblems/STC_0145.smt2, 0.558918, SAT, x = -8 y = -7 z = 10 
/20220315-MathProblems/STC_0146.smt2, 0.590011, SAT, x = -9 y = -5 z = 10 
/20220315-MathProblems/STC_0147.smt2, 0.253066, SAT, x = -56 y = -50 z = 67 
/20220315-MathProblems/STC_0148.smt2, 1.204586, Not SAT
/20220315-MathProblems/STC_0149.smt2, 1.182155, Not SAT
/20220315-MathProblems/STC_0150.smt2, 1.166223, Not SAT
/20220315-MathProblems/STC_0151.smt2, 0.547970, SAT, x = -4 y = -1 z = 6 
/20220315-MathProblems/STC_0152.smt2, 0.411176, SAT, x = -32 y = -28 z = 38 
/20220315-MathProblems/STC_0153.smt2, 0.496001, SAT, x = -15 y = 11 z = 13 
/20220315-MathProblems/STC_0154.smt2, 0.557767, SAT, x = -6 y = 3 z = 7 
/20220315-MathProblems/STC_0155.smt2, 0.194489, SAT, x = -68 y = 24 z = 67 
/20220315-MathProblems/STC_0156.smt2, 1.171867, Not SAT
/20220315-MathProblems/STC_0157.smt2, 1.178829, Not SAT
/20220315-MathProblems/STC_0158.smt2, 1.175492, Not SAT
/20220315-MathProblems/STC_0159.smt2, 1.189971, Not SAT
/20220315-MathProblems/STC_0160.smt2, 0.150157, SAT, x = -76 y = -51 z = 83 
/20220315-MathProblems/STC_0161.smt2, 0.424115, SAT, x = -31 y = 20 z = 28 
/20220315-MathProblems/STC_0162.smt2, 0.461159, SAT, x = -21 y = -14 z = 23 
/20220315-MathProblems/STC_0163.smt2, 0.148357, SAT, x = -76 y = -68 z = 91 
/20220315-MathProblems/STC_0164.smt2, 0.197557, SAT, x = -66 y = -59 z = 79 
/20220315-MathProblems/STC_0165.smt2, 1.187049, Not SAT
/20220315-MathProblems/STC_0166.smt2, 1.199017, Not SAT
/20220315-MathProblems/STC_0167.smt2, 1.148308, Not SAT
/20220315-MathProblems/STC_0168.smt2, 0.416542, SAT, x = -28 y = -22 z = 32 
/20220315-MathProblems/STC_0169.smt2, 0.540793, SAT, x = -7 y = 0 z = 8 
/20220315-MathProblems/STC_0170.smt2, 0.358825, SAT, x = -38 y = 23 z = 35 
/20220315-MathProblems/STC_0171.smt2, 0.080414, SAT, x = -87 y = 67 z = 71 
/20220315-MathProblems/STC_0172.smt2, 1.148336, Not SAT
/20220315-MathProblems/STC_0173.smt2, 1.161986, Not SAT
/20220315-MathProblems/STC_0174.smt2, 0.355515, SAT, x = -41 y = 31 z = 34 
/20220315-MathProblems/STC_0175.smt2, 1.150845, Not SAT
/20220315-MathProblems/STC_0176.smt2, 1.182096, Not SAT
/20220315-MathProblems/STC_0177.smt2, 0.544657, SAT, x = -7 y = 2 z = 8 
/20220315-MathProblems/STC_0178.smt2, 0.503295, SAT, x = -13 y = -10 z = 15 
/20220315-MathProblems/STC_0179.smt2, 0.576941, SAT, x = -4 y = 3 z = 6 
/20220315-MathProblems/STC_0180.smt2, 1.190013, Not SAT
/20220315-MathProblems/STC_0181.smt2, 0.250057, SAT, x = -59 y = -32 z = 62 
/20220315-MathProblems/STC_0182.smt2, 0.075924, SAT, x = -90 y = -29 z = 91 
/20220315-MathProblems/STC_0183.smt2, 0.474078, SAT, x = -17 y = 10 z = 16 
/20220315-MathProblems/STC_0184.smt2, 1.155277, Not SAT
/20220315-MathProblems/STC_0185.smt2, 1.202474, Not SAT
/20220315-MathProblems/STC_0186.smt2, 0.567998, SAT, x = -4 y = 5 z = 5 
/20220315-MathProblems/STC_0187.smt2, 0.262960, SAT, x = -58 y = 27 z = 56 
/20220315-MathProblems/STC_0188.smt2, 0.158658, SAT, x = -74 y = -55 z = 83 
/20220315-MathProblems/STC_0189.smt2, 0.232599, SAT, x = -63 y = -29 z = 65 
/20220315-MathProblems/STC_0190.smt2, 0.067007, SAT, x = -89 y = 36 z = 87 
/20220315-MathProblems/STC_0191.smt2, 0.125213, SAT, x = -80 y = 63 z = 64 
/20220315-MathProblems/STC_0192.smt2, 0.463455, SAT, x = -20 y = 16 z = 16 
/20220315-MathProblems/STC_0193.smt2, 1.191423, Not SAT
/20220315-MathProblems/STC_0194.smt2, 1.164928, Not SAT
/20220315-MathProblems/STC_0195.smt2, 1.151590, Not SAT
/20220315-MathProblems/STC_0196.smt2, 0.385382, SAT, x = -34 y = -15 z = 35 
/20220315-MathProblems/STC_0197.smt2, 0.532014, SAT, x = -10 y = -10 z = 13 
/20220315-MathProblems/STC_0198.smt2, 0.308539, SAT, x = -48 y = -19 z = 49 
/20220315-MathProblems/STC_0199.smt2, 0.157899, SAT, x = -73 y = -47 z = 79 
